"MLRA","Ecological.site.ID","Ecological.site.legacy.ID","Synonym","Legacy","Date","ES_stripped"
"042C","R042CY101NM","R042CY101NM","R070CY101NM","No","5/24/2022","070CY101NM"
"042C","R042CY101NM","R042CY101NM","R070CY101NM","Yes","5/24/2022","070CY101NM"
"042C","R042CY102NM","R042CY102NM","R070CY102NM","No","5/24/2022","070CY102NM"
"042C","R042CY102NM","R042CY102NM","R070CY102NM","Yes","5/24/2022","070CY102NM"
"042C","R042CY105NM","R042CY105NM","R070CY105NM","No","5/24/2022","070CY105NM"
"042C","R042CY105NM","R042CY105NM","R070CY105NM","Yes","5/24/2022","070CY105NM"
"042C","R042CY107NM","R042CY107NM","R070CY107NM","No","5/24/2022","070CY107NM"
"042C","R042CY107NM","R042CY107NM","R070CY107NM","Yes","5/24/2022","070CY107NM"
"042C","R042CY109NM","R042CY109NM","R070CY109NM","No","5/24/2022","070CY109NM"
"042C","R042CY109NM","R042CY109NM","R070CY109NM","Yes","5/24/2022","070CY109NM"
"042C","R042CY112NM","R042CY112NM","R070CY112NM","No","5/24/2022","070CY112NM"
"042C","R042CY112NM","R042CY112NM","R070CY112NM","Yes","5/24/2022","070CY112NM"
"042C","R042CY113NM","R042CY113NM","R070CY113NM","No","5/24/2022","070CY113NM"
"042C","R042CY113NM","R042CY113NM","R070CY113NM","Yes","5/24/2022","070CY113NM"
"042C","R042CY117NM","R042CY117NM","R070CY117NM","No","5/24/2022","070CY117NM"
"042C","R042CY117NM","R042CY117NM","R070CY117NM","Yes","5/24/2022","070CY117NM"
"042C","R042CY123NM","R042CY123NM","R070CY123NM","No","5/24/2022","070CY123NM"
"042C","R042CY123NM","R042CY123NM","R070CY123NM","Yes","5/24/2022","070CY123NM"
"042C","R042CY151NM","R042CY151NM","R070DY151NM","No","5/24/2022","070DY151NM"
"042C","R042CY151NM","R042CY151NM","R070DY151NM","Yes","5/24/2022","070DY151NM"
"042C","R042CY152NM","R042CY152NM","R070DY152NM","No","5/24/2022","070DY152NM"
"042C","R042CY152NM","R042CY152NM","R070DY152NM","Yes","5/24/2022","070DY152NM"
"042C","R042CY153NM","R042CY153NM","R070DY153NM","No","5/24/2022","070DY153NM"
"042C","R042CY153NM","R042CY153NM","R070DY153NM","Yes","5/24/2022","070DY153NM"
"042C","R042CY155NM","R042CY155NM","R070DY155NM","No","5/24/2022","070DY155NM"
"042C","R042CY155NM","R042CY155NM","R070DY155NM","Yes","5/24/2022","070DY155NM"
"042C","R042CY158NM","R042CY158NM","R070DY158NM","No","5/24/2022","070DY158NM"
"042C","R042CY158NM","R042CY158NM","R070DY158NM","Yes","5/24/2022","070DY158NM"
