"Cluster","Indicator","MeanCover"
"V6","AH_NonNoxPerenForbCover",3.38164114367925
"V2","AH_NonNoxPerenForbCover",1.90123685252336
"V4","AH_NonNoxPerenForbCover",1.69090896282609
"V1","AH_NonNoxPerenForbCover",1.38118065820312
"V3","AH_NonNoxPerenForbCover",1.31377137727273
"V5","AH_NonNoxPerenForbCover",0.811424169550562
"V2","AH_NonNoxPerenGrassCover",47.9387792884112
"V6","AH_NonNoxPerenGrassCover",23.4067534800943
"V4","AH_NonNoxPerenGrassCover",18.4007339413768
"V1","AH_NonNoxPerenGrassCover",4.90041419867187
"V3","AH_NonNoxPerenGrassCover",3.57350735081818
"V5","AH_NonNoxPerenGrassCover",3.4720955241573
"V5","AH_NonNoxShrubCover",22.2296163298876
"V6","AH_NonNoxShrubCover",19.4269830607547
"V1","AH_NonNoxShrubCover",16.7728566514844
"V3","AH_NonNoxShrubCover",5.18569579845455
"V4","AH_NonNoxShrubCover",4.55834172021739
"V2","AH_NonNoxShrubCover",2.37633582130841
"V4","AH_NonNoxSubShrubCover",3.12303853297101
"V2","AH_NonNoxSubShrubCover",2.87609882504673
"V6","AH_NonNoxSubShrubCover",2.75040408433962
"V5","AH_NonNoxSubShrubCover",2.39021060404494
"V3","AH_NonNoxSubShrubCover",2.308002487
"V1","AH_NonNoxSubShrubCover",1.44317927585938
"V6","AH_NonNoxSucculentCover",3.62944074764151
"V2","AH_NonNoxSucculentCover",1.88214428915888
"V4","AH_NonNoxSucculentCover",0.712321232101449
"V3","AH_NonNoxSucculentCover",0.482508250909091
"V1","AH_NonNoxSucculentCover",0.45266089109375
"V5","AH_NonNoxSucculentCover",0.417806949325843
"V6","AH_NonNoxTreeCover",2.27236373764151
"V2","AH_NonNoxTreeCover",0.570265304299065
"V4","AH_NonNoxTreeCover",0.539280923623188
"V1","AH_NonNoxTreeCover",0.398437500078125
"V3","AH_NonNoxTreeCover",0.0450045004545455
"V5","AH_NonNoxTreeCover",0
"V6","AH_NoxCover",1.21387868801887
"V4","AH_NoxCover",0.559701849565217
"V1","AH_NoxCover",0.427455357109375
"V3","AH_NoxCover",0.275577557818182
"V5","AH_NoxCover",0.157303370786517
"V2","AH_NoxCover",0.0560747663551402
"V3","BareSoilCover",57.8871099158109
"V5","BareSoilCover",52.7227037810095
"V4","BareSoilCover",37.6345155808438
"V2","BareSoilCover",15.8258064028795
"V1","BareSoilCover",14.3483472975027
"V6","BareSoilCover",6.50609642319584
"V2","FH_NonNoxPerenGrassCover",45.1035880631776
"V6","FH_NonNoxPerenGrassCover",17.8835845859434
"V4","FH_NonNoxPerenGrassCover",16.8447640368116
"V1","FH_NonNoxPerenGrassCover",3.474231805
"V3","FH_NonNoxPerenGrassCover",3.12067206727273
"V5","FH_NonNoxPerenGrassCover",1.92027292606742
"V4","GapCover_101_200",18.365603330983
"V1","GapCover_101_200",17.1325818452381
"V6","GapCover_101_200",12.854213836478
"V3","GapCover_101_200",12.1906060606061
"V5","GapCover_101_200",11.0179775280899
"V2","GapCover_101_200",6.06461059190031
"V3","GapCover_200_plus",65.6060606060606
"V5","GapCover_200_plus",48.1601498127341
"V1","GapCover_200_plus",44.4383854166667
"V4","GapCover_200_plus",19.1748143130573
"V6","GapCover_200_plus",8.71301886792453
"V2","GapCover_200_plus",2.28249221183801
"V3","LargeGaps",77.7966666666667
"V1","LargeGaps",61.5709672619048
"V5","LargeGaps",59.178127340824
"V4","LargeGaps",37.5404176440403
"V6","LargeGaps",21.5672327044025
"V2","LargeGaps",8.34710280373832
"V3","MeanGap",311.513605569089
"V5","MeanGap",243.17480514168
"V1","MeanGap",183.562666284975
"V4","MeanGap",106.04108971808
"V6","MeanGap",77.7722069441237
"V2","MeanGap",60.9366819851694
"V5","MeanMaxHeight",64.4041011069016
"V6","MeanMaxHeight",58.3783148882243
"V1","MeanMaxHeight",42.9573512286322
"V2","MeanMaxHeight",37.1659016066941
"V3","MeanMaxHeight",31.9577032778326
"V4","MeanMaxHeight",30.5487969556994
"V3","ScaledGap",12.9606060476755
"V1","ScaledGap",5.36038863210804
"V4","ScaledGap",4.24686719127042
"V5","ScaledGap",3.94218047227509
"V2","ScaledGap",1.9482732820258
"V6","ScaledGap",1.54899724053565
"V2","TotalFoliarCover",56.7906295302427
"V6","TotalFoliarCover",52.1704197075611
"V4","TotalFoliarCover",32.4231132042557
"V5","TotalFoliarCover",28.4777649085039
"V1","TotalFoliarCover",27.4969001827028
"V3","TotalFoliarCover",14.4472554484364
